id,slot,name,tier,tier_label,min_level,bonus_desc,attack_pct,defense_pct,damage_pct,xp_pct,defend_timer_sec,spell_damage_pct,source
head_cowl,head,Капюшон ученика,1,Ученик,1,+3% XP,,,3,,,,данж тир 1
body_cloth,body,Тканевая мантия,1,Ученик,1,+3% защита,,3,,,,,данж тир 1
weapon_birch,weapon,Берёзовый посох,1,Ученик,1,+3% магия,,,,,,3,данж тир 1
hands_cloth,hands,Тканевые перчатки,1,Ученик,1,+1 сек защиты,,,,,1,,данж тир 1
feet_soft,feet,Мягкие сапоги,1,Ученик,1,+2% скорость атаки,2,,,,,,данж тир 1
head_cap,head,Шапка теоретика,2,Мастер,2,+5% XP +2% магия,,,5,2,,2,данж тир 2
body_runed,body,Рунная мантия,2,Мастер,2,+5% защита +3% магия,,5,,,,3,данж тир 2
weapon_iron,weapon,Железный жезл,2,Мастер,2,+5% атака +2% урон,5,,2,,,,данж тир 2
hands_leather,hands,Кожаные перчатки,2,Мастер,2,+2 сек защиты +2% броня,,2,,,2,,данж тир 2
feet_iron,feet,Железные сапоги,2,Мастер,2,+4% защита +2% атака,2,4,,,,,данж тир 2
head_crown,head,Диадема архимага,3,Архимаг,3,+4% урон +3% XP,,,4,3,,,данж тир 3-4
body_mantle,body,Боевой накид,3,Архимаг,3,+4% защита и урон,,4,4,,,,данж тир 3-4
weapon_crystal,weapon,Кристальный стержень,3,Архимаг,3,+6% магия +3% урон,,,3,,,6,данж тир 3-4
hands_runes,hands,Рунные перчатки,3,Архимаг,3,+2 сек защиты +4% урон,,,,,2,4,данж тир 3-4
feet_swift,feet,Стремные сапоги,3,Архимаг,3,+5% атака +2% урон,5,,2,,,,данж тир 3-4
