dungeon,id,name,hp,defend_timer_sec,attack_dmg,timeout_dmg,trait,role,is_boss,special,weak_topics,resist_topics,defend_behavior,stance_max,enrage,tip,minion_names
Пещера сложения,slime,Слизь суммы,85,15,18,25,Липкий,обычный,false,,add,sub,normal,,false,Слаб к сложению — кулак/заклинания +.,
Пещера сложения,adder,Скриб-скриб,100,13,20,28,Шустрый,обычный,false,,add,,stance_on_block,4,false,Блокировка копит стойку — добивай быстро или не блокируй.,
Пещера сложения,golem_add,Голем плюса,120,16,24,32,Толстый,чемпион,true,,add,mul,normal,,true,Толстый · ярость ниже 40% HP.,Капля суммы; Скриб-скриб
Пещера вычитания,bat,Бат минус,80,11,19,27,Очень быстрый,обычный,false,,sub,add,rage_on_block,,false,Быстрый · блок заряжает удар · уклонение = лёгкий пример и часть урона,
Пещера вычитания,debt,Коллектор,105,14,22,30,Коварный,обычный,false,,sub,,normal,,false,Коварный — бей вычитанием.,
Пещера вычитания,void,Пожиратель,115,15,23,30,Голодный,чемпион,true,,sub,add,stance_on_block,3,false,Голодный · стойка растёт при блоке.,Тень минуса; Коллектор
Башня умножения,spark,Искра таблицы,95,10,22,32,Молниеносный,обычный,false,,mul,div,normal,,false,Молниеносный · слаб к умножению.,
Башня умножения,wizard,Множитель,110,12,24,34,Маг,обычный,false,,mul,div,normal,,false,Маг умножения — Огненный шар / × таблица.,
Башня умножения,titan,Квадратный титан,125,14,26,36,Массивный,чемпион,true,,mul,add,stance_on_block,3,true,Массивный · стойка + ярость на финише.,Искра; Ученик таблицы
Пещера деления,split,Делитель,100,13,21,30,Рассекающий,обычный,false,,div,mul,normal,,false,Рассекающий — бей делением.,
Пещера деления,remain,Остаточный дух,90,11,20,29,Нервный,обычный,false,,div,mul,rage_on_block,,false,Нервный · уклонение: лёгкий пример не ноль урона,
Пещера деления,frac_demon,Демон частей,120,15,25,33,Злой,чемпион,true,,div,mul,stance_on_block,3,false,Злой · стойка при блоке слаб к ÷.,Осколок; Остаточный дух
Храм дробей,pie,Пирог дробей,110,14,22,31,Липкий,обычный,false,,frac,add,stance_on_block,3,false,Липкий · дроби и быстрый добив.,
Храм дробей,half,Полуэльф половин,100,12,21,30,Хитрый,обычный,false,,frac,mul,rage_on_block,,false,Хитрый · блок заряжает · уклонение не спасает от урона,
Храм дробей,frac_boss,Архидробь,140,16,26,35,Босс-претендент,чемпион,true,,frac,mul,normal,,true,Босс дробей · ярость + слаб к дробям.,Крошка дроби; Полуэльф
Рынок процентов,merchant,Торговец скидок,105,13,21,30,Суетливый,обычный,false,,pct,sub,normal,,false,Суетливый · слаб к процентам.,
Рынок процентов,tax,Сборщик процентов,115,14,23,32,Точный,обычный,false,,pct,,stance_on_block,4,false,Точный · стойка при каждом блоке.,
Рынок процентов,pct_boss,Лорд наценки,135,15,25,34,Жадный,чемпион,true,,pct,add,normal,,true,Жадный босс · % атаки + ярость.,Скидочник; Сборщик
Арена отрядов,pack_rat,Рынь цифр,55,10,14,22,Шустрый,отряд,false,,add,,normal,,false,Шустрый · слаб к сложению.,
Арена отрядов,pack_gob,Гоблин счёта,72,12,16,24,Парирование,отряд,false,,add,sub,rage_on_block,,false,Блок заряжает · уклонение = быстрый пример + ~45% урона,
Арена отрядов,pack_ogre,Огр суммы,95,14,19,28,Толстый,отряд,false,,add,mul,normal,,false,Толстый · слаб к сложению.,
Арена отрядов,pack_leech,Кровопийца,78,13,15,22,Лайфстил 35%,отряд,false,lifesteal,add,,normal,,false,Лайфстил — лечится от твоего урона,
Арена отрядов,pack_bee,Рой пчёл,50,7,7,12,Рой 3 примера,отряд,false,swarm,add,,normal,,false,Рой — 3 быстрых примера малый урон каждый,
Арена отрядов,pack_cult,Культист заряда,68,13,14,20,Заряд 2 хода,отряд,false,windup,add,mul,normal,,false,Заряжает удар 2 твои хода · потом сильный сложный пример,
Fallback,imp,Бес цифр,90,12,18,28,Быстрый,fallback,false,,add,,normal,,false,Бес цифр.,
Fallback,shade,Тень счёта,110,15,22,30,Стандарт,fallback,false,,,,stance_on_block,2,false,Тень · стойка при блоке.,
Fallback,brute,Голем ошибок,130,18,25,35,Медленный сильный,fallback,false,,,add,normal,,true,Голем · ярость на финише.,
