level,title,cost_gold,topic,training_tag,source
1,Сложение до двадцати,35,сложение лёгкое,add_easy,данж/лавка
1,Двузначное сложение,45,сложение среднее,add_medium,данж/лавка
1,Сложение в столбик,50,сложение цепочки,add_chain,данж/лавка
1,Сложение больших чисел,60,сложение трёхзначные,add_hard,данж/лавка
1,Вычитание до двадцати,35,вычитание лёгкое,sub_easy,данж/лавка
1,Двузначное вычитание,45,вычитание среднее,sub_medium,данж/лавка
1,Цепочки вычитания,50,вычитание цепочки,sub_chain,данж/лавка
1,Вычитание больших чисел,60,вычитание трёхзначные,sub_hard,данж/лавка
2,Таблица 2–5,55,умножение,mul_table_low,данж/лавка
2,Таблица 6–10,60,умножение,mul_table_high,данж/лавка
2,Двузначное умножение,65,умножение,mul_two_digit,данж/лавка
2,Деление без остатка,60,деление,div_exact,данж/лавка
2,Деление десятками,70,деление,div_tens,данж/лавка
2,Связь × и ÷,75,× и ÷,mul_div_pair,данж/лавка
2,Цепочка с делением,80,деление цепочки,div_chain,данж/лавка
3,Общий знаменатель,85,дроби,frac_lcd,данж/лавка
3,Сложение дробей,90,дроби,frac_add,данж/лавка
3,Вычитание дробей,95,дроби,frac_sub,данж/лавка
3,Умножение дробей,100,дроби,frac_mul,данж/лавка
3,Деление дробей,110,дроби,frac_div,данж/лавка
3,Смешанные числа,95,дроби,frac_mixed,данж/лавка
4,Процент от числа,90,проценты,pct_of,данж/лавка
4,Скидка,95,проценты,pct_discount,данж/лавка
4,Наценка,100,проценты,pct_markup,данж/лавка
4,Пропорции,105,проценты,pct_share,данж/лавка
4,Найти целое,110,проценты,pct_find_whole,данж/лавка
